industry,event,alpha,beta,r_squared,p_value,std_err,adj_r_squared
Agriculture_and_Food,Brexit_Referendum_Day,0.0003958706715803069,0.7529270391135354,0.11401036932447428,0.0,0.014226750810353196,0.1139696641131045
Agriculture_and_Food,Covid_19_Pandemic_Lockdown_in_CN,0.00037614655165488264,0.7390532910231099,0.13168297146538166,0.0,0.016553366478015318,0.13161690960989358
Agriculture_and_Food,Donald_Trump_Reelection,0.00044746094070416057,0.9069744322339771,0.1411572571750228,1.5407162333550776e-37,0.06813823560259433,0.14036055704253203
Agriculture_and_Food,Global_Financial_Crisis,0.0003417895186131853,0.7272315304558901,0.1205776296646407,0.0,0.00995882142657545,0.12055501775549915
Agriculture_and_Food,Start_of_Russia's_Annexation_of_Ukraine,0.00025635323494981656,0.8181658682415944,0.11770299957651109,6.617345297149199e-216,0.025274460802031933,0.11759067659746292
Automotive,Brexit_Referendum_Day,-8.074827869811768e-05,1.0944333663072516,0.1558531209269054,0.0,0.024929360283837132,0.15577225620048796
Automotive,Covid_19_Pandemic_Lockdown_in_CN,7.736367371435408e-05,1.1031441489653306,0.15774323990213512,3.577956398410273e-247,0.031453035722691036,0.1576150034892091
Automotive,Donald_Trump_Reelection,-0.0010540274681971992,1.1859836750711539,0.1462527547421485,2.99782472470904e-20,0.12353789682977363,0.14466586395170644
Automotive,Global_Financial_Crisis,8.824520950130616e-05,1.1269308944853154,0.1921954515886839,0.0,0.017949689617998442,0.19214669173183518
Automotive,Start_of_Russia's_Annexation_of_Ukraine,-0.00013153255391310442,1.3109601720654593,0.1882978902790281,5.607668950823859e-180,0.04345662095244357,0.18809098176265782
Defense_and_Aerospace,Brexit_Referendum_Day,0.0004995933307737717,1.0347757161089859,0.16015021543044738,0.0,0.01900587676794829,0.16009618842597195
Defense_and_Aerospace,Covid_19_Pandemic_Lockdown_in_CN,0.0005336148932818668,1.094933137910627,0.1809348854779973,0.0,0.024284040489510522,0.18084588568287363
Defense_and_Aerospace,Donald_Trump_Reelection,0.0001444831422856256,1.2191012587997103,0.17289513427073966,5.778963511810118e-33,0.0971053167008937,0.17179817821539578
Defense_and_Aerospace,Global_Financial_Crisis,0.0005922476150568848,0.9355010189764723,0.15819740934947324,0.0,0.012608626629934118,0.1581686720200549
Defense_and_Aerospace,Start_of_Russia's_Annexation_of_Ukraine,0.0008459668132660844,0.905507664585586,0.11073624594871778,2.2033722837388077e-142,0.03460040507814274,0.11057456162979928
Energy_and_Utilities,Brexit_Referendum_Day,0.0003020817369161389,0.9391715211756764,0.2218670141527297,0.0,0.01231824384677785,0.22182884605610698
Energy_and_Utilities,Covid_19_Pandemic_Lockdown_in_CN,0.0004086727123726868,0.9798027824872199,0.23509787044121133,0.0,0.01564926877298881,0.23503789693254273
Energy_and_Utilities,Donald_Trump_Reelection,-0.00017060912578066567,1.035990312412901,0.1764878274706857,2.0251556546463008e-47,0.0681591156391517,0.17572390152214268
